Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,sim.device,sim.pins,ust_id2
1,Unpolarized capacitor,C,C2,220pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b3f,,,
2,Unpolarized capacitor,C,C8,2n2,C_0805_2012Metric,1,~,5c70984712875079b91f8b46,,,
3,Unpolarized capacitor,C,C9C10C12C13C14C15C17C18C20C22,100nF,C_0805_2012Metric,10,~,6508260b462c6d9e720541f1 5c70984812875079b91f8bf2,,,
4,,EMI_Filter_C-Device,C21,1uF,FIR_0805,1,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb,5c70984412875079b91f880f,,,
5,Polarized capacitor,C_Polarized,C3C5C6C7C11C16,10uF,CP_EIA-3216-18_Kemet-A,6,~,65089dd0462c6d9e720542b3,,,
6,Unpolarized capacitor,C,C4,10uF,C_0805_2012Metric,1,~,5c70984812875079b91f8bbe,,,
7,,CP-Device,C1,47uF,CP_EIA-6032-28_Kemet-C,1,https://ecom.cz/data/exportdokumentu?soubor=D06641.pdf&nazev=ECOM_06641_CTSMD-47-16-C-10--293D.pdf,5c70984412875079b91f8867,,,
8,Unpolarized capacitor,C,C19,"100pF FILM,PPS",C_0805_2012Metric,1,~,5d47bf10128750448e6b4652,,,
9,"Diode, small symbol",D_Small,D1,M4,Diode-SMA_Standard,1,~,5c70984512875079b91f88ac,D,1=K 2=A,
10,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J1,3.3-5V,Straight_2x03,1,,,,,
11,2x01 2.54 mm pitch header,HEADER_2x01,J11J13,HEADER_2x01,Straight_2x01,2,,,,,
12,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J2J3J4J5J6J7J9J10,HEADER_2x01_PARALLEL,Straight_2x01,8,,,,,
13,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",Conn_Coaxial,J8,MCX,SMA_Amphenol_901-144_Vertical,1, ~,5fa10cc512875025b39779f6,,,
14,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J12,Sensor Bias,Straight_2x03,1,,,,,
15,"Net tie, 2 pins",NetTie_2,JP1,Jumper_2_Bridged,NetTie-2_SMD_Pad0.5mm,1,~,,,,
16,Inductor,L,L1,L,L_0805_2012Metric,1,~,626fd6fcdc56076e9a222966,,,
17,Two-piece EMI RF shielding cabinet,RFShield_TwoPieces,M5,RFShield_TwoPieces,Laird_Technologies_BMI-S-204-F_32.00x32.00mm,1,~,5c72751c1287500b4e11301a,,,5c7275631287500b4e11302f
18,Resistor,R,R1R10,10,R_0805_2012Metric,2,~,5c70984512875079b91f896d 5c70984512875079b91f8977,,,
19,Resistor,R,R2R13,50,R_0805_2012Metric,2,~,5c70984512875079b91f8977,,,
20,Resistor,R,R3R4R5R6R9R11,100,R_0805_2012Metric,6,~,5c70984512875079b91f8977,,,
21,Resistor,R,R8R12,1k,R_0805_2012Metric,2,~,5c70984512875079b91f898c,,,
22,Resistor,R,R7,4k7,R_0805_2012Metric,1,~,5c70984612875079b91f8995,,,
23,"Single Rail-to-Rail High Output Current Operational Amplifiers, SOT-23-5",AD8691,U2U6,AD8691,TSOT-23-5_HandSoldering,2,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8691_8692_8694.pdf,5d47c084128750448e6b4671,,,
24,"2.0V 25μA Micropower Voltage Reference, SOT-23",ISL21070CIH320Z-TK,U4,ISL21080DIH309,SOT-23,1,http://www.intersil.com/content/dam/Intersil/documents/fn75/fn7599.pdf,5c70984712875079b91f8b0b,,,
25,"Dual channel 16-bit SAR Analog to Digital Converter, 5V supply, 150ksps, SPI interface",LTC1865-MS,U3,LTC1865-MS,MSOP-10_3x3mm_P0.5mm,1,https://www.analog.com/media/en/technical-documentation/data-sheets/18645fb.pdf,,,,
26,"Single Rail-to-Rail High Output Current Operational Amplifiers, SOT-23-5",AD8691,U1,TS3021ILT,SOT-23-5_HandSoldering,1,https://www.st.com/resource/en/datasheet/ts3021.pdf,5d47bfd4128750448e6b465e,,,
27,,TS5A4594,U5,TS5A4594,SOT-23-5_HandSoldering,1,https://www.ti.com/lit/ds/symlink/ts5a4594.pdf,5c70984612875079b91f8a0d,,,
