Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric",57.9120,20.8280,90.0000,bottom
"C2","220pF","C_0805_2012Metric",22.8600,20.8280,90.0000,bottom
"C3","10uF","CP_EIA-3216-18_Kemet-A",49.1490,32.7660,-90.0000,bottom
"C4","10uF","C_0805_2012Metric",55.8800,17.5260,0.0000,bottom
"C5","10uF","CP_EIA-3216-18_Kemet-A",37.5920,14.2240,-90.0000,bottom
"C6","10uF","CP_EIA-3216-18_Kemet-A",28.7020,19.7460,180.0000,bottom
"C7","10uF","CP_EIA-3216-18_Kemet-A",46.5620,20.5740,-90.0000,bottom
"C8","2n2","C_0805_2012Metric",25.6540,31.7500,90.0000,bottom
"C9","100nF","C_0805_2012Metric",33.2740,35.9410,180.0000,bottom
"C10","100nF","C_0805_2012Metric",16.5100,31.3690,180.0000,bottom
"C11","10uF","CP_EIA-3216-18_Kemet-A",32.8930,27.3050,180.0000,bottom
"C12","100nF","C_0805_2012Metric",44.3230,21.2090,-90.0000,bottom
"C13","100nF","C_0805_2012Metric",28.6550,22.2860,180.0000,bottom
"C14","100nF","C_0805_2012Metric",35.0520,15.2400,-90.0000,bottom
"C15","100nF","C_0805_2012Metric",33.2740,29.5910,180.0000,bottom
"C16","10uF","CP_EIA-3216-18_Kemet-A",14.4780,16.5100,-90.0000,bottom
"C17","100nF","C_0805_2012Metric",14.4780,20.9550,90.0000,bottom
"C18","100nF","C_0805_2012Metric",46.7360,33.4010,-90.0000,bottom
"C19","100pF FILM,PPS","C_0805_2012Metric",41.4020,15.4940,0.0000,bottom
"C20","100nF","C_0805_2012Metric",42.6720,32.5120,180.0000,bottom
"C21","1uF","FIR_0805",54.8640,20.8280,-90.0000,bottom
"C22","100nF","C_0805_2012Metric",24.2570,37.2110,-90.0000,bottom
"D1","BZV55C-6,2V","D_MiniMELF",54.7370,13.2080,-90.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",55.3720,43.5000,180.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",15.8750,7.3660,180.0000,bottom
"J1","3.3-5V","Straight_2x03",61.5950,19.8120,180.0000,top
"J2","HEADER_2x01_PARALLEL","Straight_2x01",25.1460,14.7320,90.0000,top
"J3","HEADER_2x01_PARALLEL","Straight_2x01",22.6060,14.7320,90.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",56.6420,29.4640,180.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",39.3700,30.9880,90.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",36.8300,30.9880,90.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_2x01",56.6420,32.0040,180.0000,top
"J8","MCX","SMA_Amphenol_901-144_Vertical",11.9380,31.3690,90.0000,top
"J9","HEADER_2x01_PARALLEL","Straight_2x01",56.6420,34.5440,180.0000,top
"J10","HEADER_2x01_PARALLEL","Straight_2x01",56.6420,26.9240,180.0000,top
"J11","HEADER_2x01","Straight_2x01",44.8310,28.8290,180.0000,top
"J12","Sensor Bias","Straight_2x03",10.4140,18.2880,0.0000,top
"J13","HEADER_2x01","Straight_2x01",17.0180,23.1140,90.0000,top
"L1","L","L_0805_2012Metric",11.9380,27.8130,90.0000,bottom
"M1","HOLE","MountingHole_3mm",10.1600,40.6400,0.0000,top
"M2","HOLE","MountingHole_3mm",60.9600,40.6400,0.0000,top
"M3","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","HOLE","MountingHole_3mm",60.9600,10.1600,0.0000,top
"M5","RFShield_TwoPieces","Laird_Technologies_BMI-S-204-F_32.00x32.00mm",35.5600,25.4000,0.0000,bottom
"R1","10","R_0805_2012Metric",40.3860,26.1620,-90.0000,bottom
"R2","50","R_0805_2012Metric",28.1940,11.9380,0.0000,bottom
"R3","100","R_0805_2012Metric",46.4820,25.1460,90.0000,bottom
"R4","100","R_0805_2012Metric",32.5120,20.8280,90.0000,bottom
"R5","100","R_0805_2012Metric",40.8940,12.7000,0.0000,bottom
"R6","100","R_0805_2012Metric",28.1940,17.2720,180.0000,bottom
"R7","4k7","R_0805_2012Metric",27.9400,32.6390,90.0000,bottom
"R8","1k","R_0805_2012Metric",22.6060,31.3690,180.0000,bottom
"R9","100","R_0805_2012Metric",37.0840,25.9080,0.0000,bottom
"R10","10","R_0805_2012Metric",16.8910,16.7640,-90.0000,bottom
"R11","100","R_0805_2012Metric",12.8270,24.5110,0.0000,bottom
"R12","1k","R_0805_2012Metric",25.1460,20.8280,90.0000,bottom
"R13","50","R_0805_2012Metric",35.8140,18.2880,180.0000,bottom
"U1","TS3021ILT","SOT-23-5_HandSoldering",27.1780,25.5270,0.0000,bottom
"U2","AD8691","TSOT-23-5_HandSoldering",41.4020,19.9390,90.0000,bottom
"U3","LTC1865-MS","MSOP-10_3x3mm_P0.5mm",41.9100,35.8140,0.0000,bottom
"U4","ISL21080DIH309","SOT-23",27.3050,37.2110,-90.0000,bottom
"U5","TS5A4594","SOT-23-5_HandSoldering",32.0040,14.4780,90.0000,bottom
"U6","AD8691","TSOT-23-5_HandSoldering",32.1310,32.6390,0.0000,bottom
