Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","3.3-5V","Straight_2x03",62.2300,19.8120,180.0000,top
"J2","HEADER_2x01_PARALLEL","Straight_2x01",25.1460,14.7320,90.0000,top
"J3","HEADER_2x01_PARALLEL","Straight_2x01",22.6060,14.7320,90.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",56.6420,29.4640,180.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",39.3700,30.9880,90.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",36.8300,30.9880,90.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_2x01",56.6420,32.0040,180.0000,top
"J8","MCX","SMA_Amphenol_901-144_Vertical",11.9380,31.4350,90.0000,top
"J9","HEADER_2x01_PARALLEL","Straight_2x01",56.6420,34.5440,180.0000,top
"J10","HEADER_2x01_PARALLEL","Straight_2x01",56.6420,26.9240,180.0000,top
"J11","HEADER_2x01","Straight_2x01",43.4340,29.8450,180.0000,top
"J12","Sensor Bias","Straight_2x03",10.4140,18.2880,0.0000,top
"J13","HEADER_2x01","Straight_2x01",10.4140,23.3680,180.0000,top
"M1","HOLE","MountingHole_3mm",10.1600,40.6400,0.0000,top
"M2","HOLE","MountingHole_3mm",60.9600,40.6400,0.0000,top
"M3","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","HOLE","MountingHole_3mm",60.9600,10.1600,0.0000,top
